id;sentiment;message
11;;Bonjour, Idem pour moi. Hier, pour une heure de TV, il m'a fallu retirer et remettre la carte une demi douzaine de fois. Je commence, moi aussi, à trouver celà trs trs agaant (pour rester poli).   Cordialement
12;;Bonjour, lorsque j'utilise le cloud par l'inermediaire de l'application cle Tv afin de diffuser video ou photo sur ma TV, on me demande d'accepter les conditions d'utilisation du cloud. Par contre quand le me rends directement sur l'application le cloud tout fonctionne parfaitement je peux acceder au contenu sans probleme rien ne met demande. Que puis-je faire ? Merci
13;;bonjour j ai un contrat open et 2 contrats m6 pour mes enfants est il possible de tout regrouper en un seul contrat ? merci d avance
14;;Bonjour J habite Sonchamp dans les Yvelines Avez vous un calendrier du déploiement sachant qu il aurait d démarrer en 2015 Bien cordialement M Piauger
15;;Bonjour à tous ma fille est partie pour 6 mois en Pologne. Elle a une adresse wanadoo (eh oui nous sommes de fidles consommateurs Orange). Elle n a pas accs à wifi et a d acheter une clé type 3G (Orange Polska). Elle a accs avec cette clé à internet et donc à Orange mais ne peut accéder à ses emails. Elle a le message d'erreur suivant : c:forbidden you don't have access/webmail/fr_FR/Index.html on this server. code 403   l'un d'entre vous aurait-il une idée? bien à vous   Cat8888
16;;ENCORE un probleme avec la chaine Mbc du bouquet arabe ecran noir ! comme la semaine derniere alors que les autres chaines fonctionnent normalement , chaque we la meme rengaine ou quoi? en plus une chaine payante
17;;Bonjour à tous, pour éviter le détérrage de topics, je lance un nouveau sujet pour l'erreur S57. J'ai bien lu ce que contenait les précédents sujet, j'ai absolument tout essayé, tests de débits (12 en DL 0,8 en UL), débrancher éléctriquement les 2 équipements, et les rebrancher dans l'ordre, test de la connectique (mon décodeur est raccordé en ETH à moins de 2m de la Livebox, changement des piles de la télécommande, réinitialisation du décodeur bref TOUT.  Malgré tout a, mon décodeur est hyper instable, obligé de le redémmarer au minimum 1x par jours, obligé de couper le WiFi (alors que seul mon téléphone y est listé) pour que les chaïnes s'affichent, télécommande qui ne réponds pas, qq chaïnes nationales indisponibles ponctuellement. Donc j'en ai un peu marre. Est-ce qu'un webconseiller Orange pourrait intervenir pour que mon décodeur soit changé parce que suis actuellement entrain de serieusement me t‰ter pour passer chez Free, il paraït que leur décodeur TV est stable LUI.  Merci de m'avoir lu et désolé par avance de ne pas tre des plus agréables. Caro
18;;bonsoir à vous tous. J ai un soucis depuis trois jours je n arrive plus à passer la page d identifiants de ma messagerie orange sur Samsung s5. C est à dire que il me demande de mettre mon adresse e-mail et mon code qui est bon sauf que quand je valide cette page revient et sans arrt. Donc impossible d aller sur ma messagerie. Par contre quand je fais un mauvais code a me change bien la page et me marque erreur de code. Merci d avance à vous. Cordialement.
19;;bonjour quelqu un a deja accroché un signal4g+ a strasbourg  si oui avec quel appareil et le  pictograme 4g+  s  affiche t il merci
20;;Bonjour depuis 1 semaine losque je veux envoyer un sms, celui ci met environ 2h pour arriver au destinataire. Que faut il faire? Merci d'avance de votre aide
21;;Bonsoir,   J'hésite entre le Samsung Edge plus et l'Iphone 6s plus. J'apprécie les deux géants de la téléphonie et j'aimerais connaitre le ressenti des utilisateurs de l'un et l'autre, votre point de vue afin de trancher car il m'est difficile de juger sans les avoir utilisé. J'ai actuellement un Samsung S4 et auparavant un Iphone 4, pas de jaloux!   Quel sont les avantages? les inconvénients? Quel est votre coup de coeur et pourquoi?   Merci
22;;Bonjour,     J'ai déjà posté sur le sujet de la Fibre mais je me disais qu'il serait pas mal de créer un topic pour récolter les expériences de chacuns concernant le raccordement à la Fibre by Orange (étapes, délai etc...). Il y a tellement de messages qui sont postés à ce sujet et qui se réptent...Et faut dire aussi que c'est un peu le flou niveau informations que l'on nous donne... De plus il y a de nombreux cas différents selon la zone géographique, le type de logement (immeuble, maison...).   Voici ci-dessous un récapitulatif en image accompagnée d'une petite vidéo sur les différentes étapes concernant le raccordement à la fibre.       Vidéo _ https://www.facebook.com/Orange.France/videos/1212546938762682/   Ainsi qu'une autre petite vidéo concernant le raccordement d'un pavillon _ https://www.youtube.com/watch?v=idfNbGxROBE     Exemple d'informations à donner :   - Votre ville ainsi que la zone (zone trs dense ou pas) liste des communes dites trs dense par l'Arcep _ http://bit.ly/1One6pM - Votre type de logement (immeuble, maison...). - Les dates des différentes étapes (fibre dans le quartier, accord du syndic, travaux etc...).   J'en profite pour vous rappeler que vous pouvez contacter le service Fibre de Orange à ce numéro 0 800 383 884.       Je vais commencer par exposer mon cas en espérant que d'autres me suivent pour le bien de notre communauté.     Alors moi j'habite dans le Calvados, à Caen (donc une ville dite 100 % Fibre), dans un immeuble neuf (livré fin 2014) de plus de 17 logements, c'est une copropriété gérée par un syndic (Century 21). Ma zone géographique est considérée comme étant en zone moyennement dense, par conséquent la commercialisation dépendra de la date de pose et l'activation des armoires de rue (pour la mutualisation) que j'ai pu voir dans le quartier. Mon quartier est fibré depuis un moment, Car il faut savoir qu'il faut un délai de 3 mois (gel commercial) aprs la pose de l'armoire de rue (zone moyennement dense) ou la pose du boïtier de mutualisation dans l'immeuble (zone trs dense) avant de pouvoir souscrire à une offre.   Récapitulatif des étapes me concernant : (sachant que la convention a été envoyée au syndic en janvier 2015)   03/09/15 : Signature de la convention lors de l'Assemblée Générale. 04/11/15 : Confirmation par Orange (au téléphone) que l'accord du syndic a été validé. (il faut patienter 2 mois aprs signature pour la validation) 09/11/15 : Des techniciens sont venus faire la pré-étude pour le raccordement. 05/01/16 : Début des travaux dans l'immeuble. 07/01/16 : Fin des travaux et pose de la pancarte dans le hall indiquant que l'immeuble est fibré par Orange. 20/01/16 : Souscription possible à une offre Fibre. 21/01/16 : Intervention du technicien à mon domicile pour l'installation de la Fibre.     En espérant que mon expérience va pouvoir éclairer plus ou moins la communauté concernant les diverses étapes pour avoir accs à la Fibre.      ----------------------------------------------------------------- Offre Livebox Jet Fibre (1Gb/s).
23;;salut    Trs bonne idée, voici mon expérience, cliqué sur le lien , https://lafibre.info/isere/la-fibre-a-saint-egreve/   Beaucoup de temoignage et de photos.     ==================================== cordialement coolbreeze
24;;Bonsoir,     Merci, comme je disais c'est qu'on est un peu en manque d'informations concrtes donc le fait de partager nos expériences ne peut qu'tre bénéfique pour la communauté.    Qu'est ce que je languis d'avoir la Fibre en tout cas, cela s'intensifie depuis que je sais que le quartier est fibré depuis plusieurs mois, que les démarches sont en cours entre Orange et le syndic... ^^ Il y a quelques mois j'avais quasi 90 Megas en VDSL et aujourd'hui (depuis que j'ai déménagé) j'ai à peine 11 Megas donc c'est un peu dur... ^^ Aprs logiquement habitant une ville qui doit tre 100 % Fibrée, j'ai envie d'tre optimiste et me dire que je n'ai plus que quelques semaines à patienter !   ----------------------------------------------------------------- Offre Livebox Jet Fibre (1Gb/s).
25;;Franchement 930 megas qu'est ce que tu vas en faire lol   non sérieusement a change la vie, toute la maison sur utube, plus moi sur l'ordi, et la télé en hd, rien ne bouge.   Je te souhaite vraiment que cela arrive vite, cela nous à pris 10 mois en tout ==================================== cordialement coolbreeze
26;;Moi qui joue en ligne, l'utilisation de la bande passante est essentielle pour jouer dans de bonnes conditions et YouTube ou TV a pompe beaucoup ! Donc la Fibre je l'attends de pied ferme ! ^^    Merci, je n'ai plus qu'à m'armer de patience, je tiendrai au courant la communauté des étapes à venir.      Bonne soirée.  ----------------------------------------------------------------- Offre Livebox Jet Fibre (1Gb/s).
27;;Bonsoir.   Pour une foi que on va parler d'un truc QUI MARCHE ici. Si si orange cela marche en fait cela semble tre une loterie parfois certains semblent avoir tirés le mauvais numéro.   Pour moi la mise en service de la fibre c'est fait suite a une migration, l'immeuble est fibré depuis plus de 2 ans, mais j'ai fait poiroter orange pour des motifs qui me son propres.   La commande a été faite le 24 juin 2015 et livrée le 4 juillet le technicien est arrivé EN AVANCE sur le RDV prévu, a 11H30 au lieu de 15H00 il a voulu revenir plus tard mais on lui a dit vous tes la alors allons y. Comme le reste du matos était la il n'a eu que a tirer le c‰ble optique jusque a l'emplacement convenu faire un raccordement ethernet livebox ONT, reset de la livebox et saisi des login et pass le tout a duré une heure montre en main,  la liveboite n'a ni bugé, ni rebooée etc. elle ronronne dans son coin il ni a que le déco TV qui est plus ou moins lunatique mais a force on sais lui parler, bon faudra pas trop pousser la liveboite mais cela fonctionne.   Dommage que on ne peut pas consulter les données de l'ONT (c'est possible mais orange a trop peur de ses propres clients comme pour le reste des services box TV VOIP etc. on peut s'affranchir mais c'est ralou je ne vais pas me prendre la tte) pour voir les stats et monitorer sa connexion ou pour faire un diagnostic histoire d'tre sur que le lien optique n'est pas en cause.   En fait le gros boulet d'orange avec la fibre c'est sa politique commerciale qui n'est plus adapter au produit vendu, et comme le commercial semble primer sur la technique?   Le produit est bon c'est juste l'emballage qui est un peut a chi.r. J'ai lu ce que donne le produit fibre sans l'emballage (virer la livebox, se faire son STB, utiliser son tel IP) cela semble faire vachement mal et si on y ajoute quelque truc en plus comme IP fixe IPv6 et tout ce qui va avec du vrai internet c'est sur cela donnerait un produit avec un BON rapport qualité prix.     --------------------------------------------------------------- Offre livebox jet fibre version avec OCS offert plus bouquet famille max. EOF
28;;Moi franchement, pour l'instant, je n'ai pas à me plaindre, mme leur systme media center marche plutôt pas mal. L'ip v6 je ne sais pas trop à quoi cela pourrai me servir, puisque cela ne me manque pas .   Aprs c'est vrai qu'au bout d'un an, cela va tre dur de rester chez orange au vu de la politique tarifaire.   J'ai bien peur que si Free se décide à se bouger les fesses comme ils l'ont annoncé sur les zone AMII, l'exode au bout d'un an risque d'tre massif.   Mais bon rendons à César, ce qui appartient à César, pour l'instant c'est orange qui fait le job, donc rien que pour cela , mme si free ou un autre me proposait une promo, je resterai chez orange par principe.       ==================================== cordialement coolbreeze
29;;Bonjour,     Merci pour vos retours, je viens d'éditer le premier message afin d'y ajouter quelques informations intéressantes à communiquer lors du partage de votre expérience.        Bon dimanche !   ----------------------------------------------------------------- Offre Livebox Jet Fibre (1Gb/s).
30;;Salut à toutes et tous   une vidéo trs sympa qui explique de manire parfaite la fibre du NRO à l'abonné   https://lafibre.info/techniques-deploiement/video-parcours-de-la-fibre/     ==================================== cordialement coolbreeze
31;;celle ci aussi   https://www.youtube.com/watch?v=owG4PKYSNpo&feature=youtu.be ==================================== cordialement coolbreeze
32;;Bonjour,   Pour savoir si votre domicile est éligible à la Fibre, VDSL2 ou ADSL faites le test d'éligibilté : http://montestinternet.orange.fr       [Edit : lien actualisé ]
33;;"Bonjour   Je viens vous voir car j'ai un soucie pour mon passage de l'adsl et vdsl, voila l'historique:   - 6 janvier je passe par le 3900 pour changer mon offre, tout ce passe bien et on m'envoie la nouvelle Box - 9 janvier je recoie ma nouvelle box et r'envoie l'ancienne (par un point relai) et dans la foulée je recois un message me disant que le changement sera actif sous 10 jours. - 18 janvier je contact un conseillé par echat pour avoir des informations car aucun changement, ils sont désolé du retard, le changement sera fait sous 24h voir 48h maxi. - 20 janvier, coupure internet et donc plus de telephone, je contact le 3900 par mobile du village d'a coté (et oui les portables captent pas chez moi, tres pratique qsuand on a plus de telephone non plus) il m'annonce par message vocal un probleme regional et donc ma coupure durera jusqu'au 23 janvier - 22 janvier, retour d'internet mais toujours pas de vdsl et meme un debit adsl plus faible qu'avant. Impossible de contacter le 3900 car ds que je donne mon numero de telephone il me r'envoie sur un message pré enregistré concernant ce fameux probleme regional. Je contact un coseillé par echat et la toujours aucune info, juste ""comme indiqué sur votre commande ca peu aller jusqu'au 26 janvier pour la mise en route, attendez que ca ce passe"".   Donc finallement, coupure internet/telephone de 2 jours, pas d'info par le 3900 et bien sur du ""je sais rien"" cammouflé par echat.   Je trouve ca deplorable le manque d'information et de serieux pour un opérateur comme orange, si je me permettais de bloquer mon prelevement automatique et de leur dire que je payerai quand j'en aurai envie ou que j'avais un probleme, je ne pensse pas qu'ils seraient aussi peu réactifs.   Enfn, si en tant qu'ancien utilisateurs ayant vecu ce genre de probleme vous pouvez m'aider j'en serai ravi   Merci"
34;;Bonjour, Deezer ne fonctionne plus sur ma liveradio mais fonctionne bien sur mon pc, quelqu'un a-t-il le mme problme ? Brigitte
35;;Boujour   moi aussi j'ai le mme PB !   tout est accessible sur deezer depuis la Vintage mais lorsqu'on lance l'écoute ... CHARGEMENT s'affiche et aucun son Philippe
36;;bonjour, J'ai aussi le meme problme. Depuis 3 semaines deezer ne fonction plus sur la liveradio !
37;;"Bonsoir, Idem pour moi, reste bloqué sur chargement sur decodeur hifi orange. Cela a commencé avant les ftes et je n'ai pas eu le temps de me poser sur le problme. Ce soir, j'ai tout rebooté, vérifié identifiant et mot de passe, pas de meilleur résultat; d'o ma recherche sur le net et trouvé ce forum avec les mmes problmes et diagnostics. Avez-vous trouvé une solution depuis ? Merci d'avance,"
38;;IDEM! Plus accs ‡ mes playlists depuis livecube et liveradio. OK depuis mon mobile. RAZ livebox et liveradio sans effet
39;;Bonjour,    idem depuis la fin d'année, il serait bien d'avoir des infos de la part du staff orange ... ou Deezer ...
40;;Vu de moi, Ce problme date du 20/12/2015 environ. Deezer m'a dit qu'il le signalait à Orange. ce serait bien qu''Orange se manifeste sur ce problme.  Qualité de service, ce n'est pas que des mots, mais aussi des actions rapides.
41;;"Le mail que m'a transmis Deezer à ce sujet: ""Merci de nous avoir contactés, Nous vous remercions pour la remarque concernant l'accs à Deezer depuis votre Liveradio d'Orange. Il semble qu'en effet, cela ne fonctionne plus depuis quelques jours, soyez rassuré nous sommes en train d'identifier l'erreur. Pouvez-vous, dans un premier temps, rafraïchir authentification de votre compte Deezer avec votre Liveradio ? c'est ici http://www.deezer.com/account/apps un fois connecté à votre compte Deezer. Enfin, sachez que c'est bien Orange qui développe ce terminal, et malheureusement nous ne pouvons pas intervenir sur ce produit. User ID : .... Email : .... Username :  Offer : Orange Deezer Premium+ Nous venons de transférer, tout de mme, votre requte à l'équipe technique d'Orange et nous espérons que cela sera de retour le plus rapidement possible. Bien cordialement, Deezer Customer Support Discover Deezer: http://www.deezer.com/features Deezer Support Center: http://www.deezer.com/support""   A suivre ..."
42;;Bonjour, J'ai éxactement le mme pb. Le Wifi et la radio sur la live Radio fonctionne, mais je ne peux plus écouter mes Playlist, Album... Je je suis pas le seul visiblement, peut-on avoir un retour sur ces dysfoctionnements ?? merci
43;;J'apporte une information supplémentaire à mon post précédent, j'ai créé une autre compte deezer non premium + et là quand je lance ce compte sur le decodeur hifi, cela fonctionne pendant 30s en précisant que le compte n'est pas premium +. C'est vraiment à y perdre son latin, le compte premium + (payant) ne fonctionne pas et le compte gratuit fonctionne, pourquoi bloquer ceux qui acceptent de payer un abonnement ?? Bonne journée
44;;"Bonjour, je suis actuellement client Livebox Zen. Mon appartement est en travaux et je suis donc actuellement en location saisonnire pour une durée de deux mois environ.   Qelles sont les solutions internet que vous me proposez? Je ne pense pas qu'il soit possible de faire un ""déménagement"" classique de la ligne pour une durée si courte et je pense pas pouvoir ""écraser"" la ligne du propriétaire."
45;;Bonjour,   @benjaminclement_  Une piste, si vous avz une bonne couvrture réseau mobile, utiliser un domino avec un forfait lets'go, voir boutique: https://boutique.orange.fr/tablette-et-cle/forfaits-internet-let-s-go
46;;bonjour   existe t-il une offre fibre sans téléphone ni télé, je compte conserver ma ligne téléphone standard car je n'ai pas de livebox mais un modem routuer Netgear D6300
47;;Bonjour @darth2602 , Toutes nos offres Fibre proposent le service TV et le téléphone en plus d'internet. Aussi, la Livebox est indispensable pour en bénéficier. Pour plus d'informations sur l'installation de la Fibre à votre domicile, je vous invite à consulter cette page de notre assistance. Par ailleurs, la Fibre étant une technologie bien distincte de celle que vous utilisez actuellement, sachez que vous pouvez parfaitement conserver votre ligne téléphonique standard en plus. N'hésitez pas à me solliciter si vous avez d'autres questions, Gabrielle.
48;;Bonsoir   Je vais passer à la fibre dans les prochains mois et j'en ai assez de payer pour des services que je n'utilise jamais : - 160 chaïnes TV (en plus, la WebTV d'Orange ne marche plus sous GNU Linux) - téléphonie illimitée (j'ai déjà a sur mon mobile, je n'ai pas de téléphone fixe) - cloud d'Orange (j'ai déjà un Raspberry Pi et bientôt une brique Internet) - 100 Mo pour les pages personnelles (j'ai déjà un Raspberry Pi et bientôt une brique Internet)   Il est possible d'utiliser un convertisseur fibre optique RJ45 pour se passer de la Livebox, on peut en trouver à 30 € en entrée de gamme. Désolé de vous contredire mais la Livebox n'est absolument pas indispensable pour bénéficier des offres Fibre.   Je pense qu'Orange devrait faire un effort pour proposer des offres sans télévision comme c'était le cas pour l'ADSL. Je ne veux surtout pas que la présence d'une option TV dans mon offre serve de prétexte pour me faire payer la redevance télé.   Personnellement, je préférerais une offre avec juste Internet et rien de plus, Internet tout entier sans blocage de port ce qui me permettrait de ne pas tre obligé de passer par un VPN pour certains usages tout à fait légitimes. Comme je ne crois plus au Pre No‘l, je me doute bien que a n'arrivera jamais.
49;;Madame, Monsieur,   En décembre 2013, j'ai souscrit à une offre SOSH Livebox + mobile à 49,90€/mois auprs de conseillers SOSH par téléphone, qui m'avait mis en service l'équipement (Étardivement, plus d'un mois aprs ma demande au lieu des 2 semaines promise lors de l'adhésion)   A aucun moment lors de la souscription de cette offre, les conseillers SOSH n'avaient mentionné des frais quelconque de mise en service et d'installation d'une ligne France télécom. Ils ne figuraient pas non plus dans les CGV, ni sur le site internet de SOSH ni dans le contrat auquel j'ai souscris. (Je précise aussi qu'une ligne télécom existait déjà avant mon emménagement dans cet appartement et que ma résidence bénéficie du dégroupage total, donc sans nécessité d'abonnement.)   Or, En janvier, je reois une facture puis une relance de mise en service et d'abonnement mensuel ORANGE, à hauteur de 78 euros. Hier, je reois également avec étonnement un  courrier de mise en demeure avant mise au contentieux pour cette mme facture.     Aprs plusieurs chats en janvier avec SOSH à réception des factures ORANGE,  les conseillers m'ont confirmé que dans le cadre de cette offre, je n'étais pas censée payer cette somme à ORANGE. Ils m'ont donc répété plusieurs fois de ne pas tenir compte de ces factures envoyés par Orange, et qu'il devait y avoir une erreur. Selon eux, tout allait tre régularisé et je ne devais pas tenir compte de ces demandes.   Hier soir aprs la réception de la mise en demeure, je recontacte encore une fois SOSH (EMILY)  et elle me reconfirme que je ne dois aucun rglement à Orange et que ces lettres de menaces sont inadmissibles.   Je mentionne également qu'aprs plusieurs appels auprs de votre service client ORANGE, puis plusieurs mails auprs de votre service client , aucun conseiller de chez vous ne daigne prendre en compte ma demande et régler mon problme.  Je n'ai eu droit jusqu'ici qu'à des mails de réponses automatiques absolument sidérants de négligence.   En effet, ORANGE ne peux prendre en compte ma demande puisque je cite le mail Çle service clients internet ne dispose pas de ce genre d'outil pour ce genre de demande via le site ORANGE, contactez SOSH È ou bien alors je suis Ç client sosh È, et SOSH me renvoie à Orange puisque c'est bien de vous qu'émanent ces factures à répétition et non pas de SOSH. C'est vous qui réclamez ces 78€, c'est donc à vous de faire le nécessaire pour solutionner ce problme.   Cette situation aberrante devient extrmement désagréable. Que ce soit SOSH OU ORANGE, c'est le mme tarif,  je suis réellement abasourdie par de votre manque de réactivité et du peu de professionnalisme dont vous faites preuve pour traiter ce genre de litige. C'est à qui en fera le moins, je me retrouve confrontée au manque de communication entre vos deux établissements qui ne font que se renvoyer la balle depuis maintenant deux mois sans donner suite à mes réclamations (mails, téléphone, chatsÉ). En d'autres termes, tout ceci devient KAFKAIEN. En attendant, mon dossier et ces factures sans fondements se retrouvent menacés de poursuites.   Au vu de ce véritable parcours du combattant que ce soit le temps et argent perdu au téléphone sur les Hotline Orange, le temps perdu à maintes reprises sur le chat Sosh sans obtenir de réponse, ainsi que le temps passé à écrire ce courrier, à photocopier toutes les pices jointes ainsi que l'affranchissement de ce pli en recommandé, (ainsi que l'énervement généré par tous ces événements) je vous somme également de faire un geste commercial conséquent sur ma prochaine facture SOSH.  Vous vous mettrez donc en relation avec eux directement pour mettre un terme à tout ceci et à accéder à ma demande de compensation, il est hors de question que je perde davantage de temps à me battre contre vos deux établissements respectifs.   Pour terminer, je vous mets en demeure de clôturer ce dossier et de me fournir une réponse pertinente sous huitaine une bonne fois pour toutes.
50;;Bonjour Vous tes ici sur le forum de la communauté des utilisateurs d'Orange. Chacun peut y soumettre les problmes rencontrés lors de l'utilisation des différents services: Internet, téléphonie, messagerie télévision, wifi ......Les réponses à ces problmes sont apportées par des membres bénévoles et quelques fois des webconseillers Orange. Dans votre cas, votre requte ici déposée n'a que peu de chance d'tre prise en compte, préférez la lettre recommandée A.R. Bonne chance. . Cordialement Daniel
51;;Dans ce cas, merci de me donner la bonne adresse postale ainsi que le mail du service réclammation.   cdt, mlle mariatte
52;;"Bonjour.   Dans un premier temps, adressez votre réclamation directement en ligne depuis la rubrique "" dépôt de réclamation ""de votre espace client.     Si la réponse à votre réclamation n'est pas satisfaisante, vous pourrez présenter un recours à :   Service National Consommateurs Orange (préciser le domaine concerné : fixe, internet ou mobile) 33734 BORDEAUX Cedex 9   Et lorsque les voies de recours internes  à Orange auront été épuisées, portez votre litige devant le Médiateur des communications électroniques,    C'est un peu long mais efficace.   Bonne chance   Cordialement Daniel"
53;;"quand je lis la recommandation d'envoyer une lettre recommandée à Orangeee pour avoir une réponse, je me marre, j'ai suivi en octobre 2012 cette recommandation pour soumettre une réclamation au service contentieux de Orange à Bordeaux. aucune réponse jusq'à ce jour (16 mois) avec l'arrivée de la fibre, j'ai posé la mme question au service client de la fibre: réponse plus intelligente: ""faites une lettre normale.""  j'ai économisé 5 + ou - 5 € de lettre recommandée par rapport à envoi normal, surtout quand je constate que  je n'ai pas encore eu de réponse (en 6 semaines....) pour une société dont le matériel est  trs approximatif, les procédures administratives interminables, le réveil va  tre dur, face à des société concurrentes volontaires et efficaces, au materiel performant. DE PROFONDIS FRANCE TELECOM.........orange...."
54;;fabri a écrit : quand je lis la recommandation d'envoyer une lettre recommandée à Orangeee pour avoir une réponse, je me marre,   Bonjour.   C'est à vous de voir, mais si au bout de deux mois, vous n'avez pas de réponse du Service Consommateur, ou si la réponse de ce service ne vous convient pas vous saississez le Médiateur des communications électroniques. C'est clair net et précis et à partir de là, vous ne vous occupez plus de votre démlé avec Orange, c'est le Médiateur qui s'en charge. Le document à télécharger est ici   Dans mon cas  avec un autre FAI qui faisait la sourde oreille à mes doléances, j'ai obtenu satisfaction et mme plus puisque le Médiateur a demandé que ce Fai me rembourse les frais de résiliation.     Cordialement Daniel
55;;elodie anne bonjour Je vous ai envoyé un post sur le forum sosh. Pouvez vous y répondre? Merci Cordialement Bernard.
